experiment_id,method,intervention,washout_batches,seed,panel_id,disagreement,accuracy_ab,accuracy_ba,signed_error_gap,absolute_error_gap,nll_gap,brier_gap,first_batch_max_logit_diff,n_scenarios
stage_a_uci_v2,source,all,4,17,uci_internal_fixed,0.0,0.8681640625,0.8681640625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,4,29,uci_internal_fixed,0.0,0.84375,0.84375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,4,43,uci_internal_fixed,0.0,0.73046875,0.73046875,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,source,none,0,17,uci_internal_fixed,0.0,0.8681640625,0.8681640625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,source,none,0,29,uci_internal_fixed,0.0,0.84375,0.84375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,source,none,0,43,uci_internal_fixed,0.0,0.73046875,0.73046875,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,source,none,4,17,uci_internal_fixed,0.0,0.8681640625,0.8681640625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,source,none,4,29,uci_internal_fixed,0.0,0.84375,0.84375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,source,none,4,43,uci_internal_fixed,0.0,0.73046875,0.73046875,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,all,0,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,all,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,all,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,all,4,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,all,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,all,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,tent,aux,0,17,uci_internal_fixed,0.0009765625,0.8603515625,0.859375,-0.0009765625,0.0009765625,-2.2949739964178012e-05,-1.3939091297097623e-05,0.007641315460205,2
