experiment_id,method,intervention,washout_batches,direction,seed,panel_id,accuracy,nll,brier,ece15,seconds,updates,skipped,recoveries,n_scenarios
stage_a_uci_v2,sar_complete,parameters_aux,4,ab,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.18899859999510227,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,parameters_aux,4,ba,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.22099930000695167,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,parameters_aux,4,ba,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.264856649991998,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,parameters_aux,4,ba,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.217341050003597,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,ab,17,uci_internal_fixed,0.8583984375,0.5041926299953787,0.21668722440920746,0.0815261299385983,0.21212780000496415,16.0,0.0,11.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,ab,29,uci_internal_fixed,0.8447265625,0.6310400616530081,0.24513497239790819,0.0934082766921714,0.2400385000000824,16.0,0.0,13.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,ab,43,uci_internal_fixed,0.880859375,0.4064295110131153,0.18061104522770854,0.06282163596435164,0.21347640000021778,16.0,0.0,13.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,ba,17,uci_internal_fixed,0.8583984375,0.5040345386930848,0.21664665975108302,0.08152878177321685,0.3218889999989187,16.0,0.0,10.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,ba,29,uci_internal_fixed,0.8447265625,0.6310450052676158,0.2451360079163803,0.0934078474033383,0.25158729999384377,16.0,0.0,13.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,ba,43,uci_internal_fixed,0.880859375,0.4064295110131153,0.18061104522770854,0.06282163596435164,0.3246282500040252,16.0,0.0,13.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer,4,ab,17,uci_internal_fixed,0.8583984375,0.5037641486303785,0.21657729182921606,0.08153867859604605,0.22911124999518506,16.0,0.0,10.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer,4,ab,29,uci_internal_fixed,0.8447265625,0.6320447481779414,0.24530756036666548,0.0934954526290433,0.18050880000373576,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer,4,ab,43,uci_internal_fixed,0.880859375,0.4065084928958825,0.1806300931577187,0.0628265272126512,0.268533499998739,16.0,0.0,11.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer,4,ba,17,uci_internal_fixed,0.859375,0.5038517687837049,0.21659213499645635,0.0805681462977542,0.21239335000427664,16.0,0.0,9.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer,4,ba,29,uci_internal_fixed,0.8447265625,0.6320447481779414,0.24530756036666548,0.0934954526290433,0.18226745000720251,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer,4,ba,43,uci_internal_fixed,0.880859375,0.4065084928958825,0.1806300931577187,0.0628265272126512,0.3007932499895105,16.0,0.0,11.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,ab,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.22926900000311434,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,ab,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.2066336999996565,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,ab,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.1789071000021067,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,ba,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.22041619999072276,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,ba,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.206010050002078,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,ba,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.1850508499992429,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,ab,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.2239207999882637,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,ab,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.2009511500000371,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,ab,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.1633901000022888,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,ba,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.23274769999989076,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,ba,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.1832133499992778,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,ba,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.22039719999884255,16.0,0.0,8.0,2
