experiment_id,seed,panel_id,scenario,method,intervention,washout_batches,n,disagreement,accuracy_ab,accuracy_ba,signed_error_gap,absolute_error_gap,nll_gap,brier_gap,first_batch_max_logit_diff
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,none,0,512,0.0,0.708984375,0.708984375,0.0,0.0,4.95959864263984e-05,-9.638019644153673e-06,0.006625175476074219
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,parameters,0,512,0.0,0.708984375,0.708984375,0.0,0.0,-3.6816484074719824e-05,1.4429671768623198e-05,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,optimizer,0,512,0.0,0.708984375,0.708984375,0.0,0.0,9.04681261297835e-05,-2.3312672555897418e-05,0.006625175476074219
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_optimizer,0,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,aux,0,512,0.0,0.708984375,0.708984375,0.0,0.0,4.95959864263984e-05,-9.638019644153673e-06,0.006625175476074219
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_aux,0,512,0.0,0.708984375,0.708984375,0.0,0.0,-3.6816484074719824e-05,1.4429671768623198e-05,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,optimizer_aux,0,512,0.0,0.708984375,0.708984375,0.0,0.0,9.04681261297835e-05,-2.3312672555897418e-05,0.006625175476074219
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_optimizer_aux,0,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,all,0,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,none,4,512,0.0,0.708984375,0.708984375,0.0,0.0,3.825905648491279e-05,-4.3457107210542745e-06,0.004324913024902344
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,parameters,4,512,0.0,0.708984375,0.708984375,0.0,0.0,-1.828604706566317e-05,1.1532059303598352e-05,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,optimizer,4,512,0.0,0.708984375,0.708984375,0.0,0.0,6.035382420011004e-05,-1.4688363322967746e-05,0.004324913024902344
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_optimizer,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,aux,4,512,0.0,0.708984375,0.708984375,0.0,0.0,3.825905648491279e-05,-4.3457107210542745e-06,0.004324913024902344
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_aux,4,512,0.0,0.708984375,0.708984375,0.0,0.0,-1.828604706566317e-05,1.1532059303598352e-05,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,optimizer_aux,4,512,0.0,0.708984375,0.708984375,0.0,0.0,6.035382420011004e-05,-1.4688363322967746e-05,0.004324913024902344
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_optimizer_aux,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,tent,all,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,none,0,512,0.0,0.708984375,0.708984375,0.0,0.0,-9.88722921535512e-06,-2.07103694416233e-06,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters,0,512,0.0,0.708984375,0.708984375,0.0,0.0,-9.88722921535512e-06,-2.07103694416233e-06,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,optimizer,0,512,0.0,0.708984375,0.708984375,0.0,0.0,-9.88722921535512e-06,-2.07103694416233e-06,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_optimizer,0,512,0.0,0.708984375,0.708984375,0.0,0.0,-9.88722921535512e-06,-2.07103694416233e-06,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,aux,0,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
