experiment_id,method,intervention,washout_batches,direction,panel_id,accuracy,nll,brier,ece15,seconds,updates,skipped,recoveries,n_seeds,n_scenarios_min,n_scenarios_max
stage_a_uci_v1,tent,aux,4,ab,uci_internal_fixed,0.8623046875,0.5144152186027519,0.21412238750003545,0.0791961374745065,0.09081638333494384,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,aux,4,ba,uci_internal_fixed,0.8623046875,0.5143979326361886,0.2141207995192341,0.0791877265102701,0.10114051666459994,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,none,0,ab,uci_internal_fixed,0.8619791666666666,0.513930715797977,0.21406790651952343,0.07934603479537093,0.0891901333307032,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,none,0,ba,uci_internal_fixed,0.8616536458333334,0.5139045547439033,0.2140656711041514,0.07949729254838155,0.09254500000436862,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,none,4,ab,uci_internal_fixed,0.8623046875,0.5144152186027519,0.21412238750003545,0.0791961374745065,0.08856469999833883,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,none,4,ba,uci_internal_fixed,0.8623046875,0.5143979326361886,0.2141207995192341,0.0791877265102701,0.08447431666960858,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,optimizer,0,ab,uci_internal_fixed,0.8619791666666666,0.5140207636254323,0.21408797244272207,0.07911659185227622,0.11721553333579016,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,optimizer,0,ba,uci_internal_fixed,0.8616536458333334,0.5139579097725794,0.21408338031305515,0.07925634676265982,0.08832524999888842,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,optimizer,4,ab,uci_internal_fixed,0.8623046875,0.5140561009357576,0.21407586250579394,0.07898562420616104,0.09010196666349653,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,optimizer,4,ba,uci_internal_fixed,0.8623046875,0.5140143540019452,0.21407256170017286,0.07918942193259021,0.11408221666594419,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,optimizer_aux,0,ab,uci_internal_fixed,0.8619791666666666,0.5140207636254323,0.21408797244272207,0.07911659185227622,0.07756686667077395,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,optimizer_aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5139579097725794,0.21408338031305515,0.07925634676265982,0.08030620000257233,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,optimizer_aux,4,ab,uci_internal_fixed,0.8623046875,0.5140561009357576,0.21407586250579394,0.07898562420616104,0.0810542833326811,16.0,0.0,0.0,3,2,2
